pts,lat,lon,A,B,C,D,E,F,G,H
13,37.428962,-122.169714,,,,,,,,next
13,37.429883,-122.169459,,,,,,,,next
13,37.429966,-122.169552,,,,,,,,next
13,37.430984,-122.169225,,,,,,,,next
13,37.431261,-122.169128,,,,,,,,next
13,37.431465,-122.169074,,,,,,,,next
13,37.431789,-122.170592,,,,,,,,next
13,37.433437,-122.17004,,,,,,,,next
13,37.431881,-122.170619,,,,,,,,next
13,37.431989,-122.171177,,,,,,,,next
13,37.43232,-122.171058,,,,,,,,next
13,37.431989,-122.171177,,,,,,,,next
13,37.431881,-122.170619,,,,,,,,next
